,epoch,owner,indy_staked
105,430,87cfce392e41d3f90fca51e3b9e1ee38e67ff1e1dfd4acc11d068cc6,272125026
106,430,0a28284b7d8984092e0045a00b4a363733ff8764f6dcbf0504f2b7a8,50200803
107,430,60401c22591a1a24e9016dfcb5e0c3ad93de65435f18f4f24d8193c2,91465407
108,430,c2600cc73f1ddf78cb0deea927fee6409c9d2aaf151b6bb9ac1b0feb,100000000
109,430,51efe629a2a27ed7854d11b8c1f5e47e5a2a502a73beb25aadc625fb,58033051
110,430,05873aa7f27f4e91829e46c4de94c4b9159dcbf2b3f73f3037429d8b,15000000
111,430,b32472f9afa6d5ab44f07d95ac5d3a5a7f0a17c15c91c62e8646e686,31635180
112,430,6e3705283abc36d62e5332e221e4f440e90b8f716b0b412c8ffe2ef1,30000000
113,430,042a3d41e8bc0c79fa17e491c6b81f6d5645bfc35df036f61c18bd1f,683508227
114,430,3d4d56f02ddccf47cbebceccd1d5fdf9e2f8020e8fd929e08318922b,1158911
115,430,2722b73e6fdadd44d7e771dbde649d36ff3ac90277ce49b530355d3c,40396896
116,430,19c1be2fd0ce6e32cde0185dd60a56edc288d8de6243c1ca4e569f51,1000000
117,430,eff15a8eee7dbe991d1c3779f3bd9c07e99324872ae6cc7dadd673c4,10808772
118,430,044a02ac41c4f4bb4377905069e067ed0e0a07bc8d0e145e22dcfab0,100635638
119,430,779311e3763a0548a21966fcbaee04af77a5c21dc863eaf8dfb7d232,87486289
120,430,dbf62020c6e458cd78ab8e4726fbc766b60c9a473918a5afb8784f4f,30000000
121,430,74d50c0b2a239a06b6ac587434530db68e66bf0fd59e1c103629c8b7,47445235
122,430,ac85c00a2736b75b05a7346072328b218c6e64f1b1f3d24647f57cb2,733141774
123,430,559d23a5db8f1b809ba9b48e7504582c96af34f68495f3ed51b2cce5,101959159
124,430,fd84357990c85741e74703ffc003798059eecfc6cd9ee37c98e93fd8,19669726
125,430,f30c8d52d06adc54518b2b7bf8367685fafcc1d598b6235fff1674e1,56933540
126,430,fc232c17b74da57491ceaf8a5e7a3e772fe80a8c9186111c4b814e73,55200803
127,430,66ebf229a7d33e70a393a9f896dc4ee7caadf1618245a9404af378a2,280252383
128,430,19d096d0ca81b14280d46fdd4f428e2a443ead965a070890398b0d98,39049842
129,430,5281479d61081904c906882dd7c809bcda231c699ca0895550732a70,2490628484
130,430,a4cb303f50719d1ec712704dee0fbbdc71dbb54a24c30ef2e133f8ab,75147840
131,430,37339e109621e4508bbbad12698a2a5bd81155a36545edfe7340f030,694659144
132,430,251afb45009e8cdcc4d95ce402b280fd11751704e540c5c12c5d293c,30001821
133,430,05e107b58556aad477331ca6878f12d29609b232c1cc31d099950a60,100000000
134,430,e5c4eeabb7dd3b0009a7504b99c150ff873d1435f00baa6cdf8f3804,165929982
135,430,7de337d83081a32aebfcd1e0d193a2bc16a27bd6b79d4cae868e10ef,91000000
136,430,5b06d393e8dfcfc2b19ca8ecc91c242dd437ed72d917391264183f36,99994658
137,430,f08a2242c6a6353ea38c9316dc478cad0d5e53eef6c1833e763eb33d,18359599
138,430,9d4b499a1d5865c79ecca081633a8741a88cc9225b71f1403843d418,305401606
139,430,7cfe44196c3e15c7ba066793f64a5e9d84c4cfc781f2a4a155539932,127140091
140,430,844da5da8b0ca7fb657b0c6a261883ebf631627f6b016ee7cd6516a0,366861150
141,430,b13e6a158243745f3ef0368d838cee372f4580626e3b0485b0a91397,127513047
142,430,b1ca53b12a8c7f0b5adddf9157cfc2548b93fc854cc124174394b8fa,278079834
143,430,9d25f407ec78be5c5b0d1c0e95edff70844d338f1207cd04f1a07b25,30754695
144,430,9c27d064a05530a230fd70489e45395ffe983454d84321fe4e75f3f9,1333449608
145,430,a485b6436c9f49a331655fa1574405c3e9bb1ead65e84b91f28fe826,40003591
146,430,2d2698946bc0f751dfc642bda9716d9c95065c4bb6aa23fa36379917,191805750
147,430,619b6b3a2835612d57f1fd005a20a950d5d17f31434599d983f4f066,182918847
148,430,6b28469ea3ca15f2ca119267bbebfaa93083df2d3a54fe89524cb26e,21577691
149,430,5ebe0ad9ea2c6e3e19e3b3f1ef0feb9e1694cd50295191058140135c,141237033
150,430,111233079530c54a894d6c092eb2ea196569a53c2ad2642c386fa70b,315391392
151,430,284e815b254663fcb753bb060e597a26ba57d8e3e2684fca9997893b,757596706
152,430,914f7e7aeac7a9f09409d07d3046040fcdc2b44046eb8411baa66edf,59137036
153,430,1be7677761b8b57ac596e6eea4b189c82347c81a16883994ecab3bd1,400270845
154,430,66e2b2931578c427c7178d607338d87801f7b6f7997edf4ec5161bc1,130000000
155,430,d9a5a826fb470f37aaeff134cd7471f85ac885fe80665da1c6fe01f1,74467149
156,430,02e55ea0a0e1c02a0a041cef143da60f7257e2a66f559b5dd4dc9ee6,50279270
157,430,6dfa5c283d15c82b85b918c5480a6abf540d11f8ba50bdd65af11b86,46275704
158,430,d4209720a89b2f9a7fcd308fa6b674efb065aaffa4d0198b31fedea4,122106812
159,430,ac2fa48e0f73a0d0d2aeef31271f4c5a760d7e7d951bc9132d136cbe,11692143666
160,430,9c9ccbb773315d014fa44cd45b3f748defe409f24ced66bbf1f3137c,84587971
161,430,7e021fd4f4b01ea412dcb4f3717e6be9ef8f03fe26a3ce9b126a4636,30000811
162,430,9a3a1e6f4da7b1047cb371fb53fedcb06c5465f82fc3d600eb8318b9,72165016
163,430,60aa4eb9f3d2abdf9816fa92d3df26477de6be0f8f22ae7f9b68f897,6468750
164,430,e0a4b979717cdf180fd25ada7d8ce34bfb55821c54473e5d3344ab44,305000000
165,430,3b95db115617cc38974f8c1c4b3993c2dfdb3c5ec769d8b4859252de,334681568
166,430,c9fde66fe27b703cf0e7b2dafab026337dda757a1958d8147b7bca3f,302664989
167,430,88953f934feb695c29c1c31a3fb5024504becdef70a24a446168dc15,60200793
168,430,d3fd2904261bf175a7b662114806dc81bf3523a8126354c24d5c7d59,327262898
169,430,269211db149b07d15a8587b7153f69e39ca9cda49babc284063b86db,75000000
170,430,7223c9299bfb0c6d229f9e50ede8a4a414da591e9cb2b9ce17f480c2,123643182
171,430,f90286cdbcbcace1a08c240643031a82a7e443d38affc318b3203340,261855269
172,430,b971a91a4fc8f95febaf1e2461a7ce0119ff5c3936d6f134bd105f61,800871135
173,430,12f6a51a346513c205f3d56530dab31b2ffb5a92ba6bd868c668b229,109233610
174,430,dc7dc874141547865628aef3d0def219496edf07b8ade1c5b8b51dcc,1095054437
175,430,ba9cb398668b61288c46b1d8df9290d077e0c3bffec3fde7179e6076,50412412
176,430,974a981a7e5b9a818df5f54f6430b9d696f67ae1fdd13b5962d35f93,227028174
177,430,bbc6d8e0a8f8fa47238a3df22e1b9a0e39a0de2330ba5b49d69a6bc0,1002238511
178,430,9fbf7f8abb766c67dabd22c2ca7f81e8a97dcb610450906524cf8ab6,90083301
179,430,b4ae9fad7ac39b99156109e5bb7c33f99f4773caafc8373b3fd94b4e,74057620
180,430,63ffcea431889194cc4340feb1b96c81251d0dc547fd50203de1eb83,27447944
181,430,b424d1f65eef1518c28afdc0d1acea0220f30e56c76e7f3ef6194221,190117848
182,430,57f47c774b61a2ff4ff48fd018dad30310aecd979dcd83a8360e0c36,61025749
183,430,3676a8f6fc88d00bb27fa5eb2e25f91b69ad6b211c9931263bbeb39c,76371027
