,Period,Address,Purpose,Date,Amount,Expiration,AvailableAt
153,453,fc5543c66855df3872fc1c6bedbd95bb592feb158a7656d0964358b1,SP reward for iBTC,2023-12-02,66053,2024-03-05 21:45,2023-12-06 23:00
154,453,476b50ba222061304df4ef1e7da2a370fc1a452f4100e862d5555269,SP reward for iBTC,2023-12-02,80696,2024-03-05 21:45,2023-12-06 23:00
155,453,7502c5c924fda27047c2cdff8e5a3ebf823c8427387b674b12b0203d,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
156,453,7c287d80b89068e3f0e5ad9cdcfccd67e264e10c7bac1f1c50b4b4ce,SP reward for iBTC,2023-12-02,65356,2024-03-05 21:45,2023-12-06 23:00
157,453,4e1b5e33ca40177148b9a59b602070a93d08c6d28769fa954879cc34,SP reward for iBTC,2023-12-02,4296,2024-03-05 21:45,2023-12-06 23:00
158,453,e0f3e44d96ee509d6ab6e2da8f461254ca01f70093af4449dc4872f7,SP reward for iBTC,2023-12-02,352,2024-03-05 21:45,2023-12-06 23:00
159,453,17847aaa1e8f5041d5591347a6337e9992eb0f565f725cf43191558a,SP reward for iBTC,2023-12-02,595324,2024-03-05 21:45,2023-12-06 23:00
160,453,bd0f8a958763197ef563ab8d4d85fc21fee6f7b894d6c7c8d82db00c,SP reward for iBTC,2023-12-02,565,2024-03-05 21:45,2023-12-06 23:00
161,453,eca93e97120204b13cf0fa6a0f87e37c39503bfaa2872a01944f02b8,SP reward for iBTC,2023-12-02,60179,2024-03-05 21:45,2023-12-06 23:00
162,453,9d4d413b3f4497d3ccdb07be86f076da7010d81e145b55adcdc2f833,SP reward for iBTC,2023-12-02,6220,2024-03-05 21:45,2023-12-06 23:00
163,453,f7fbc9291c83560868ab7e3ba41ae900800b74940e117d044bf7dae4,SP reward for iBTC,2023-12-02,48774,2024-03-05 21:45,2023-12-06 23:00
164,453,dbf62020c6e458cd78ab8e4726fbc766b60c9a473918a5afb8784f4f,SP reward for iBTC,2023-12-02,6323,2024-03-05 21:45,2023-12-06 23:00
165,453,ae410e87b18ac10b7b28dcc401248dfe43d8bddcad2c349f315e9d55,SP reward for iBTC,2023-12-02,8805,2024-03-05 21:45,2023-12-06 23:00
166,453,742e13aeb9130597e75cb1e4201368884b223a027760b1614ddcd514,SP reward for iBTC,2023-12-02,136417,2024-03-05 21:45,2023-12-06 23:00
